Season,Team,Games Played,Goals For,Average Goals For,Goals Against,Average Goals Against,Points,Average SOC,Wins,Losses,Ties,AWQI,AGCI,+/-,PQI,Playoff Wins,Average Opponent Points,Points %
Winter 2014,Seekers,6,6,1,13,2.166666667,3,3,1,4,1,1.833333333,0.7916666667,-7,1.451388889,0,8.166666667,0.25
Winter 2014,Pucked Up,6,13,2.166666667,7,1.166666667,7,2.5,3,2,1,5.5,0.7833333333,6,4.308333333,3,6.333333333,0.5833333333
Winter 2015,Honey Nut Chelios,6,18,3,7,1.166666667,10,2.166666667,4,0,2,11,0.7416666667,11,8.158333333,3,5.833333333,0.8333333333
Summer 2015,Pucked Up,6,14,2.333333333,11,1.833333333,8,2.583333333,3,1,2,6.5,0.6944444444,3,4.513888889,0,5,0.6666666667
Winter 2015,Seekers,6,18,3,11,1.833333333,6,2.5,3,3,0,6.666666667,0.6944444444,7,4.62962963,0,7,0.5
Winter 2014,Honey Nut Chelios,6,19,3.166666667,9,1.5,9,2.5,4,1,1,15.33333333,0.6944444444,10,10.64814815,2,7,0.75
Fall 2014,Seekers,6,17,2.833333333,13,2.166666667,7,2.833333333,3,2,1,5.666666667,0.6527777778,4,3.699074074,2,6.666666667,0.5833333333
Summer 2015,The Mighty Dads,6,17,2.833333333,17,2.833333333,6,2.833333333,2,2,2,4.833333333,0.625,0,3.020833333,0,6.166666667,0.5
Fall 2014,Teach Me How to Doughty 2.0,6,13,2.166666667,13,2.166666667,6,3.166666667,3,3,0,1.833333333,0.625,0,1.145833333,0,5,0.5
Fall 2014,Pucked Up,6,21,3.5,7,1.166666667,10,2.333333333,4,0,2,17.33333333,0.625,14,10.83333333,1,7,0.8333333333
Summer 2015,Flying Pucks,6,23,3.833333333,7,1.166666667,11,2.833333333,5,0,1,10.16666667,0.6083333333,16,6.184722222,0,4.5,0.9166666667
Fall 2014,Beginner Indies 1,6,12,2,21,3.5,2,2.833333333,1,5,0,2,0.5972222222,-9,1.194444444,0,8.5,0.1666666667
Winter 2014,Beginner Indies 2,6,26,4.333333333,8,1.333333333,11,1.333333333,5,0,1,14.83333333,0.5972222222,18,8.858796296,1,5.333333333,0.9166666667
Winter 2015,Alaskan Oil Exchange 6.9,6,26,4.333333333,16,2.666666667,9,3,4,1,1,9.333333333,0.5833333333,10,5.444444444,1,6.666666667,0.75
Fall 2014,Honey Nut Chelios,6,23,3.833333333,8,1.333333333,11,2.833333333,5,0,1,7.666666667,0.5555555556,15,4.259259259,1,3.833333333,0.9166666667
Summer 2015,David R.Ceriton School of Super Friends,6,20,3.333333333,11,1.833333333,7,2.166666667,3,2,1,7,0.5555555556,9,3.888888889,3,5.833333333,0.5833333333
Winter 2014,Spanish Speed Skaters,6,10,1.666666667,13,2.166666667,4,3.166666667,2,4,0,1,0.5555555556,-3,0.5555555556,0,3.833333333,0.3333333333
Summer 2015,Giggly Gumdrops,6,7,1.166666667,21,3.5,2,3.333333333,1,5,0,0.6666666667,0.5333333333,-14,0.3555555556,2,7.5,0.1666666667
Fall 2014,Hard-Core Honey Badgers,6,1,0.1666666667,16,2.666666667,1,3,0,5,1,0.1666666667,0.5277777778,-15,0.08796296296,0,6.5,0.08333333333
Winter 2015,Dirty Mike & the Boys,6,32,5.333333333,12,2,12,2.5,6,0,0,6.666666667,0.4916666667,20,3.277777778,1,3.666666667,1
Winter 2014,Zamboners,6,18,3,10,1.666666667,10,3.166666667,5,1,0,9.666666667,0.4916666667,8,4.752777778,1,4.666666667,0.8333333333
Winter 2014,Nepalese Nordic Skiers,6,3,0.5,19,3.166666667,1,3,0,5,1,0.5,0.4861111111,-16,0.2430555556,0,4.833333333,0.08333333333
Winter 2015,The Strong Forks,6,8,1.333333333,22,3.666666667,3,3,1,4,1,0.1666666667,0.4722222222,-14,0.0787037037,0,4.833333333,0.25
Winter 2015,Teach Me How to Doughty,6,22,3.666666667,17,2.833333333,8,2.833333333,4,2,0,1,0.4305555556,5,0.4305555556,0,4.5,0.6666666667
Fall 2014,Foreign Body Checks,6,19,3.166666667,16,2.666666667,6,2.833333333,3,3,0,2.666666667,0.4305555556,3,1.148148148,0,4.5,0.5
Winter 2015,The Mighty Dads,6,27,4.5,12,2,8,2.5,4,2,0,1.333333333,0.4305555556,15,0.5740740741,0,3.333333333,0.6666666667
Summer 2015,Seekers,6,13,2.166666667,27,4.5,2,1.833333333,1,5,0,4,0.4222222222,-14,1.688888889,0,7,0.1666666667
Winter 2014,Punctal Plugs,6,6,1,21,3.5,3,2.666666667,1,4,1,0.5,0.4222222222,-15,0.2111111111,0,6,0.25
Winter 2015,Specs Offenders,6,8,1.333333333,28,4.666666667,1,2.833333333,0,5,1,0.5,0.4166666667,-20,0.2083333333,0,8.666666667,0.08333333333
Winter 2015,David R Ceriton School of Super Friends,6,19,3.166666667,17,2.833333333,5,2.833333333,2,3,1,1.666666667,0.4083333333,2,0.6805555556,0,6.833333333,0.4166666667
Fall 2014,David R Ceriton School of Super Friends,6,18,3,7,1.166666667,10,3.166666667,5,1,0,6.5,0.4027777778,11,2.618055556,3,4.333333333,0.8333333333
Fall 2014,Vicious Velociraptors,6,3,0.5,26,4.333333333,1,2.833333333,0,5,1,0.1666666667,0.3611111111,-23,0.06018518519,1,7.666666667,0.08333333333
Winter 2015,Puck Bunnies,6,9,1.5,23,3.833333333,4,3,2,4,0,1,0.2888888889,-14,0.2888888889,0,7.666666667,0.3333333333
Winter 2014,Beginner Indies 1,6,17,2.833333333,18,3,6,2.666666667,3,3,0,4.5,0.2833333333,-1,1.275,0,6.333333333,0.5
Winter 2015,The Big Mason Jars,6,4,0.6666666667,30,5,0,3.333333333,0,6,0,0,0.2638888889,-26,0,0,7.333333333,0
Winter 2015,The Consistent Waterbottles,6,1,0.1666666667,29,4.833333333,0,2.666666667,0,6,0,0,0.2555555556,-28,0,0,7.5,0
Winter 2015,Pucked Up,6,35,5.833333333,3,0.5,12,2.833333333,6,0,0,17.66666667,0.2222222222,32,3.925925926,2,3.5,1